mapping_id,labor_code,material_code,material_description,material_unit,calculation_type,multiplier,waste_factor,source,effective_date,expiration_date,active,supersedes_mapping_id,status,confidence,notes
MAP-000018,AFO.RTD,26702594,4 PORT HST 150 FT TONEABLE STUB,EA,PER_UNIT,0.0006,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.0005994)."
MAP-000019,AFO.RTD,26702595,4 PORT HST 250 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000020,AFO.RTD,26702598,4 PORT HST 750 FT TONEABLE STUB,EA,PER_UNIT,0.0002,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.0002468)."
MAP-000021,AFO.RTD,26702599,4 PORT HST 1000 FT TONEABLE STUB,EA,PER_UNIT,0.0002,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.0001763)."
MAP-000022,AFO.RTD,26702600,4 PORT HST 1500 FT TONEABLE STUB,EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.000141)."
MAP-000023,AFO.RTD,26702601,6 PORT HST 150 FT TONEABLE STUB,EA,PER_UNIT,0.0007,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.0006699)."
MAP-000024,AFO.RTD,26702603,6 PORT HST 350 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000025,AFO.RTD,26702604,6 PORT HST 500 FT TONEABLE STUB,EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (0.0001058)."
MAP-000026,AFO.RTD,26702607,6 PORT HST 1500 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000027,AFO.RTD,26712099,8 PORT HST 150 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000028,AFO.SL,25370668,WEAVER CONNECTOR,EA,PER_UNIT,0.0031,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project B only (0.0031). Project A placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000029,AFO.SL,25796500,"CLAMP,D LASHING WIRE,BUG NUTS,100pc/BOX",EA,PER_UNIT,0.0061,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=0.00608, B=0.0062 Multiplier is in consumption units; this SKU is a pack of 100, so divide by 100 to purchase."
MAP-000030,AFO.SL,25803477,Cable Suspension Clamp Curved,EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000031,AFO.SL,26411077,"1/4"" EHS STRAND 5000FT REEL",FT,PER_UNIT,0.9262,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,CONFLICT,"Projects disagree: A=0.9262, B=1. Lower ratio carried pending a ruling. Multiplier is in consumption units; this SKU is a pack of 5000, so divide by 5000 to purchase."
MAP-000032,AFO.SL,26506941,PRYSMIAN-48ST SM ARMORED RIBBON,FT,PER_UNIT,0.3366,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 0.3366. Observed in project A only (0.3366). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000033,AFO.SL,26507674,144F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Source label ""AFO SL 144FOC"" mapped to pay unit ""AFO.SL"". Observed in project B only (1). A REEL-SOURCED row for the same pair was folded in."
MAP-000034,AFO.SL,26507676,288F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,0.0445,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 0.0445. Observed in project A only (0.04447). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000035,AFO.SL,26507678,72F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Source label ""AFO SL 72FOC"" mapped to pay unit ""AFO.SL"". Observed in project B only (1)."
MAP-000036,AFO.SL,26530956,48F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Source label ""AFO SL 48FOC"" mapped to pay unit ""AFO.SL"". Observed in project B only (1)."
MAP-000037,AFO.SL,26704285,4X4 RIVERTECH SNAP SIGN MARKER,EA,PER_UNIT,0.0025,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,CONFLICT,"Projects disagree: A=0.002497, B=0.0031. Lower ratio carried pending a ruling."
MAP-000038,AFO.SL,27010569,PRYSMIAN 96 RIBBON FIBER ARMORED,FT,PER_UNIT,0.1644,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 0.1644. Observed in project A only (0.1644). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000039,AFO.SL,42902163,"5/8"" Nut square",EA,PER_UNIT,0.0022,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,CONFLICT,"Projects disagree: A=0.002171, B=0.0062. Lower ratio carried pending a ruling."
MAP-000040,AFO.SL,48 CT PRYSMIAN,48 CT PRYSMIAN,FT,PER_UNIT,0.2142,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 0.2142. Observed in project A only (0.2142). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000041,AFO.SL,6380512,"Bolt, Machine 5/8"" X 12""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000042,AFO.SL,6380518,"Bolt, Machine 5/8"" X 18""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000043,AFO.SL,99431488,.045 LASH WIRE 430-TYPE 1200FT COIL,FT,PER_UNIT,1.0444,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (1.044). Project B placed AFO.SL without it, so it is situational rather than always consumed. Multiplier is in consumption units; this SKU is a pack of 1200, so divide by 1200 to purchase."
MAP-000044,AFO.SL,CSS-50R,"Cable Straping, 50' Roll",FT,PER_UNIT,0.0006,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0005971). Project B placed AFO.SL without it, so it is situational rather than always consumed. Multiplier is in consumption units; this SKU is a pack of 50, so divide by 50 to purchase."
MAP-000045,AFO.SL,CSS-LH,LOCKING HEADS FOR CABLE STRAPS,EA,PER_UNIT,0.0034,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.003366). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000046,AFO.SL,F62002,"CABLE TIES 4"" BLACK ULTRA LIGHT",EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (1.086e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000047,AFO.SL,FIBR288SMSALTOS,"288F SJSA, Prysmian Loose Tube",FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Source label ""AFO SL 288FOC"" mapped to pay unit ""AFO.SL"". Observed in project B only (1)."
MAP-000048,AFO.SL,GDE1104,"Guy grips (Preform), 1/4"" / YELLOW",EA,PER_UNIT,0.0012,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.001238). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000049,AFO.SL,J-1074,"Square washer 5/8""",EA,PER_UNIT,0.005,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.004994). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000050,AFO.SL,J-1096,Bolt-3 Straight suspension clamp,EA,PER_UNIT,0.0016,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.001553). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000051,AFO.SL,J-6510,"Thimble eye 5/8"" nut",EA,PER_UNIT,0.0006,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0006189). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000052,AFO.SL,J-8051,"Bolt, Thimble eye 5/8"" X 10""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0001086). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000053,AFO.SL,J-8052,"Bolt, Thimble eye 5/8"" X 12""",EA,PER_UNIT,0.0007,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0006514). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000054,AFO.SL,J-8053,"Bolt, Thimble eye 5/8"" X 14""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000055,AFO.SL,J-8810,"Bolt, Machine 5/8"" X 10""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000056,AFO.SL,J-8812,"Bolt, Machine 5/8"" X 12""",EA,PER_UNIT,0.0009,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0008686). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000057,AFO.SL,J-8814,"Bolt, Machine 5/8"" X 14""",EA,PER_UNIT,0.0008,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.0008143). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000058,AFO.SL,J-9412,"Bolt, Eye 5/8"" X 12""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000059,AFO.SL,J-9414,"Bolt, Eye 5/8"" X 14""",EA,PER_UNIT,0.0001,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (5.429e-05). Project B placed AFO.SL without it, so it is situational rather than always consumed."
MAP-000061,BDO-SC288,26702892,FIELDSMART FDH PON 288,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Source label ""BDO SC288"" mapped to pay unit ""BDO-SC288"". Observed in project A only (1)."
MAP-000062,BDO-SC432,26705386,FDH CAB 432F Max W/SCAPC 50 ft Feed tail,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Source label ""BDO-432"" mapped to pay unit ""BDO-SC432"". Observed in project A only (1)."
MAP-000063,BDO7,26583056,12X14X41 PEDESTAL VENT,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,BASELINE: ratio rounds to a whole 1 per unit. Observed in project B only (1).
MAP-000064,BFO.144.I,26507674,144F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Ratio independently observed in both projects: A=1, B=1"
MAP-000065,BFO.144.IE,144 CT PRYSMIAN,144 CT PRYSMIAN,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1)."
MAP-000066,BFO.288.I,26507676,288F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1). Project B placed BFO.288.I without it, so it is situational rather than always consumed."
MAP-000067,BFO.288.I,FIBR288SMSALTOS,"288F SJSA, Prysmian Loose Tube",FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project B only (1). Project A placed BFO.288.I without it, so it is situational rather than always consumed."
MAP-000068,BFO.48.I,26530956,48F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Ratio independently observed in both projects: A=1, B=1"
MAP-000069,BFO.48.IE,48 PRYSMIAN,48ct PRYSMIAN / EDH1A1J-12-B1-048-E3,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1)."
MAP-000070,BFO.72.I,26507678,72F ACCUROLL DRY CORE ALLWAVE RIBBON,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project B only (1)."
MAP-000073,BHF-10,26711642,14X19X12 DROP VAULT W/ GREEN LID,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,COMPETING SKU,"BHF-10 installs exactly one vault/handhole, but the source data names 2: 26711642 (14X19X12 DROP VAULT W/ GREEN LID), RM-OC-101512 (10X15X12 PEDESTRIAN DROP VAULT). Approving them all would order one of each. Pick the standard, or split the pay unit by structure size. Observed in project A only (1). Project B placed BHF-10 without it, so it is situational rather than always consumed."
MAP-000074,BHF-10,RM-OC-101512,10X15X12 PEDESTRIAN DROP VAULT,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,COMPETING SKU,"BHF-10 installs exactly one vault/handhole, but the source data names 2: 26711642 (14X19X12 DROP VAULT W/ GREEN LID), RM-OC-101512 (10X15X12 PEDESTRIAN DROP VAULT). Approving them all would order one of each. Pick the standard, or split the pay unit by structure size. Observed in project B only (1). Project A placed BHF-10 without it, so it is situational rather than always consumed."
MAP-000075,BHF-17T,25871675,17X30X24 SHIELD VAULT (DO NOT ORDER),EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000076,BHF-17T,26704285,4X4 RIVERTECH SNAP SIGN MARKER,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1). Project B placed BHF-17T without it, so it is situational rather than always consumed."
MAP-000077,BHF-30T,25871675,17X30X24 SHIELD VAULT (DO NOT ORDER),EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,COMPETING SKU,"BHF-30T installs exactly one vault/handhole, but the source data names 3: 25871675 (17X30X24 SHIELD VAULT (DO NOT ORDER)), RM-OC-173024T22 (17X30X24 T-22 DURALITE VAULT), RM-OC-243636T22 (24X36X36 T-22 DURALITE VAULT). Approving them all would order one of each. Pick the standard, or split the pay unit by structure size. Observed in project A only (1). Project B placed BHF-30T without it, so it is situational rather than always consumed."
MAP-000078,BHF-30T,26704285,4X4 RIVERTECH SNAP SIGN MARKER,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1). Project B placed BHF-30T without it, so it is situational rather than always consumed."
MAP-000079,BHF-30T,RM-OC-173024T22,17X30X24 T-22 DURALITE VAULT,EA,PER_UNIT,0.4545,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,COMPETING SKU,"BHF-30T installs exactly one vault/handhole, but the source data names 3: 25871675 (17X30X24 SHIELD VAULT (DO NOT ORDER)), RM-OC-173024T22 (17X30X24 T-22 DURALITE VAULT), RM-OC-243636T22 (24X36X36 T-22 DURALITE VAULT). Approving them all would order one of each. Pick the standard, or split the pay unit by structure size. Observed in project A only (0.4545). Project B placed BHF-30T without it, so it is situational rather than always consumed."
