,Code,UNIT DESCRIPTION,UNIT,RATE,QTY
,(XZ)BHF-48,"Labor unit to dig up, remove, and return to stock an undamaged 48"" non-traffic rated in ground vault.",Each,250,
91,(XZ)BHF- 0T,"Labor unit to dig up, remove, and return to stock an undamaged  0"" traffic rated in ground hand hole.",Each,250,
,(XZ)BHF- 0,"Labor unit to dig up, remove, and return to stock an undamaged  0"" non-traffic rated in ground hand hole.",Each,250,
,(XZ)BHF-10,"Labor unit to dig up, remove, and return to stock an undamaged 10"" fiber storage (flower pot).",Each,78,
,(XX)BDO7,"Labor unit to dig up, remove, and discard a damaged above ground stake mounted fiber pedestal.",Each,250,
92,(XX)BHF-48T,"Labor unit to dig up, remove, and discard a damaged 48"" traffic rated in ground vault.",Each,250,
93,(XX)BHF-48,"Labor unit to dig up, remove, and discard a damaged 48"" non-traffic rated in ground vault.",Each,250,
94,(XX)BHF- 0T,"Labor unit to dig up, remove, and discard a damaged  0"" traffic rated in ground hand hole.",Each,250,
95,(XX)BHF- 0,"Labor unit to dig up, remove, and discard a damaged  0"" non-traffic rated in ground hand hole.",Each,250,
96,(XX)BHF-10,"Labor unit to dig up, remove, and discard a damaged 10"" fiber storage (flower pot).",Each,75,
97,BMHR 1A,"Labor unit per hour for 1 Aerial Foreman, truck and tools to be compensated where other units do not apply.",Per Hour,99.5,
98,BMHR 2A,Labor unit per hour for 2 Man Aerial Fiber Crew to be compensated where other units do not apply.,Per Hour,136.5,
99,BMHR  A,Labor unit per hour for   Man Aerial Fiber Crew to be compensated where other units do not apply.,Per Hour,172.5,
100,BMHR 4A,Labor unit per hour for 4 Man Aerial Fiber Crew to be compensated where other units do not apply.,Per Hour,232.5,
101,BMHR 1B,"Labor unit per hour for 1 Buried Fiber Foreman, truck and tools, to be compensated where other units do not apply.",Per Hour,92.5,
,BMHR 2B,Labor unit per hour for 2 Man Buried Fiber Crew to be compensated where other units do not apply.,Per Hour,170,
102,BMHR  B,Labor unit per hour for   Man Buried Fiber Crew to be compensated where other units do not apply.,Per Hour,206,
103,BMHR 4B,Labor unit per hour for 4 Man Buried Fiber Crew to be compensated where other units do not apply.,Per Hour,248,
104,BMHR ER1,"Emergency Call Out. After hours, weekend or holiday. Only applicable for emergency repair response. Flat fee for mobili ation of on-site response to emergency plant repair at any time of day or night.",Per Event,235,
105,BMHR ER2,"Emergency Aerial Line/Bucket Truck with Two Person Crew. After hours, weekend or holiday.",Per Hour,175,
106,BMHR ER ,"Emergency Heavy Equipment Operator with backhoe or excavator to make UG repairs. After hours, weekend or
holiday.",Per Hour,150,
107,BMHR ER4,"Emergency Ground Hand, or General Laborer. After hours, weekend or holiday.",Per Hour,56,
108,BFO-DROP,"Labor to install underground conduit and pull drop(Plow or Trench). Min depth to be 12"" to 18"" to top of conduit.",Per Foot,2.5499999999999998,
109,BM60-DROP,"Labor to install underground conduit and pull drop(Missle Bore or Directional Bore). Min depth to be 12"" to 18"" to top of conduit.",Per Foot,12.5,
,BMHD-DROP,"Labor to Hand Dig portion of underground conduit and pull drop. Min depth to be 12"" to 18"" to top of conduit.",Per Foot,11,
110,AFO.DROP,Install Aerial Drop Fiber.,Per Foot,1.75,
111,RISER,Install Fiber Optic Drop Riser Guard,Each,45,
112,ONT,Install Demarcation Box on side of building or on Mobile Home Post.,Each,45,
,HO-1,Install Fusion Splice,Per Splice,42,
,HO-1TL,Labor for fiber tests with light meter.,Each,9,
,BFO-DROP.IE,Labor to install Drop Fiber and Tracer Wire in existing conduit.,Per Foot,1.75,
,BM60(1)(0.75)Drop,"Labor to place a second vacant  /4"" conduit. Min depth to be 12"" to 18"".",Per Foot,1.25,
113,BHF-10,"Labor only to install 10"" Fiber Storage. (Flower Pot)",Each,55,
114,BDO7,PEDESTAL,Each,85,
115,BM2,Ground Rod,Each,22,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
,,,,,
,,,,,
,,,,,
